leaves,x0,x1,x2,x3,x4,x5,x6,orbits
13,1,1,0,1,0,1,1,1
15,1,1,1,1,0,1,1,2
17,1,1,2,1,0,1,1,1
15,1,2,0,1,0,1,1,2
17,1,2,1,1,0,1,1,1
19,1,2,2,1,0,1,1,1
13,1,0,0,2,0,1,1,2
15,1,0,1,2,0,1,1,1
17,1,0,2,2,0,1,1,1
15,1,1,0,2,0,1,1,2
17,1,1,1,2,0,1,1,1
19,1,1,2,2,0,1,1,1
17,1,2,0,2,0,1,1,1
19,1,2,1,2,0,1,1,1
21,1,2,2,2,0,1,1,2
13,1,0,0,0,1,1,1,2
13,1,0,1,0,1,1,1,2
15,1,0,2,0,1,1,1,1
13,1,1,0,0,1,1,1,1
15,1,1,1,0,1,1,1,2
17,1,1,2,0,1,1,1,1
15,1,2,0,0,1,1,1,2
17,1,2,1,0,1,1,1,1
19,1,2,2,0,1,1,1,1
13,1,0,0,1,1,1,1,2
15,1,0,1,1,1,1,1,1
17,1,0,2,1,1,1,1,1
15,1,1,0,1,1,1,1,2
17,1,1,1,1,1,1,1,1
19,1,1,2,1,1,1,1,1
17,1,2,0,1,1,1,1,1
19,1,2,1,1,1,1,1,1
21,1,2,2,1,1,1,1,2
15,1,0,0,2,1,1,1,3
17,1,0,1,2,1,1,1,2
19,1,0,2,2,1,1,1,2
17,1,1,0,2,1,1,1,3
19,1,1,1,2,1,1,1,2
21,1,1,2,2,1,1,1,2
19,1,2,0,2,1,1,1,2
21,1,2,1,2,1,1,1,2
23,1,2,2,2,1,1,1,3
15,1,0,0,0,2,1,1,1
15,1,0,1,0,2,1,1,3
17,1,0,2,0,2,1,1,2
15,1,1,0,0,2,1,1,1
17,1,1,1,0,2,1,1,3
19,1,1,2,0,2,1,1,2
17,1,2,0,0,2,1,1,1
19,1,2,1,0,2,1,1,2
21,1,2,2,0,2,1,1,2
15,1,0,0,1,2,1,1,1
17,1,0,1,1,2,1,1,1
19,1,0,2,1,2,1,1,2
17,1,1,0,1,2,1,1,1
19,1,1,1,1,2,1,1,1
21,1,1,2,1,2,1,1,2
19,1,2,0,1,2,1,1,1
21,1,2,1,1,2,1,1,2
23,1,2,2,1,2,1,1,1
17,1,0,0,2,2,1,1,2
19,1,0,1,2,2,1,1,1
21,1,0,2,2,2,1,1,1
19,1,1,0,2,2,1,1,2
21,1,1,1,2,2,1,1,1
23,1,1,2,2,2,1,1,1
21,1,2,0,2,2,1,1,1
23,1,2,1,2,2,1,1,1
25,1,2,2,2,2,1,1,2
13,1,0,0,0,0,2,1,1
13,1,0,1,0,0,2,1,3
15,1,0,2,0,0,2,1,2
13,1,1,0,0,0,2,1,1
15,1,1,1,0,0,2,1,3
17,1,1,2,0,0,2,1,2
15,1,2,0,0,0,2,1,1
17,1,2,1,0,0,2,1,2
19,1,2,2,0,0,2,1,2
13,1,0,0,1,0,2,1,1
15,1,0,1,1,0,2,1,1
17,1,0,2,1,0,2,1,2
15,1,1,0,1,0,2,1,1
17,1,1,1,1,0,2,1,1
19,1,1,2,1,0,2,1,2
17,1,2,0,1,0,2,1,1
19,1,2,1,1,0,2,1,2
21,1,2,2,1,0,2,1,1
15,1,0,0,2,0,2,1,2
17,1,0,1,2,0,2,1,1
19,1,0,2,2,0,2,1,1
17,1,1,0,2,0,2,1,2
19,1,1,1,2,0,2,1,1
21,1,1,2,2,0,2,1,1
19,1,2,0,2,0,2,1,1
21,1,2,1,2,0,2,1,1
23,1,2,2,2,0,2,1,2
15,1,0,0,0,1,2,1,1
15,1,0,1,0,1,2,1,2
17,1,0,2,0,1,2,1,1
15,1,1,0,0,1,2,1,2
17,1,1,1,0,1,2,1,2
19,1,1,2,0,1,2,1,1
17,1,2,0,0,1,2,1,1
19,1,2,1,0,1,2,1,1
21,1,2,2,0,1,2,1,1
15,1,0,0,1,1,2,1,1
17,1,0,1,1,1,2,1,2
19,1,0,2,1,1,2,1,1
17,1,1,0,1,1,2,1,1
19,1,1,1,1,1,2,1,2
21,1,1,2,1,1,2,1,1
19,1,2,0,1,1,2,1,2
21,1,2,1,1,1,2,1,1
23,1,2,2,1,1,2,1,1
17,1,0,0,2,1,2,1,2
19,1,0,1,2,1,2,1,1
21,1,0,2,2,1,2,1,1
19,1,1,0,2,1,2,1,2
21,1,1,1,2,1,2,1,1
23,1,1,2,2,1,2,1,1
21,1,2,0,2,1,2,1,1
23,1,2,1,2,1,2,1,1
25,1,2,2,2,1,2,1,2
17,1,0,0,0,2,2,1,2
17,1,0,1,0,2,2,1,2
19,1,0,2,0,2,2,1,1
17,1,1,0,0,2,2,1,1
19,1,1,1,0,2,2,1,2
21,1,1,2,0,2,2,1,1
19,1,2,0,0,2,2,1,2
21,1,2,1,0,2,2,1,1
23,1,2,2,0,2,2,1,1
17,1,0,0,1,2,2,1,2
19,1,0,1,1,2,2,1,1
21,1,0,2,1,2,2,1,1
19,1,1,0,1,2,2,1,2
21,1,1,1,1,2,2,1,1
23,1,1,2,1,2,2,1,1
21,1,2,0,1,2,2,1,1
23,1,2,1,1,2,2,1,1
25,1,2,2,1,2,2,1,2
19,1,0,0,2,2,2,1,3
21,1,0,1,2,2,2,1,2
23,1,0,2,2,2,2,1,2
21,1,1,0,2,2,2,1,3
23,1,1,1,2,2,2,1,2
25,1,1,2,2,2,2,1,2
23,1,2,0,2,2,2,1,2
25,1,2,1,2,2,2,1,2
27,1,2,2,2,2,2,1,3
13,1,0,0,0,0,0,2,2
13,1,0,1,0,0,0,2,2
13,1,0,2,0,0,0,2,1
13,1,1,0,0,0,0,2,1
13,1,1,1,0,0,0,2,1
15,1,1,2,0,0,0,2,1
13,1,2,0,0,0,0,2,3
15,1,2,1,0,0,0,2,2
17,1,2,2,0,0,0,2,2
13,1,0,0,1,0,0,2,2
13,1,0,1,1,0,0,2,1
15,1,0,2,1,0,0,2,2
13,1,1,0,1,0,0,2,1
15,1,1,1,1,0,0,2,1
17,1,1,2,1,0,0,2,2
15,1,2,0,1,0,0,2,2
17,1,2,1,1,0,0,2,2
19,1,2,2,1,0,0,2,1
13,1,0,0,2,0,0,2,2
15,1,0,1,2,0,0,2,1
17,1,0,2,2,0,0,2,1
15,1,1,0,2,0,0,2,2
17,1,1,1,2,0,0,2,1
19,1,1,2,2,0,0,2,1
17,1,2,0,2,0,0,2,1
19,1,2,1,2,0,0,2,1
21,1,2,2,2,0,0,2,2
13,1,0,0,0,1,0,2,1
13,1,0,1,0,1,0,2,3
15,1,0,2,0,1,0,2,2
13,1,1,0,0,1,0,2,1
15,1,1,1,0,1,0,2,3
17,1,1,2,0,1,0,2,2
15,1,2,0,0,1,0,2,1
17,1,2,1,0,1,0,2,2
19,1,2,2,0,1,0,2,2
13,1,0,0,1,1,0,2,1
15,1,0,1,1,1,0,2,1
17,1,0,2,1,1,0,2,2
15,1,1,0,1,1,0,2,1
17,1,1,1,1,1,0,2,1
19,1,1,2,1,1,0,2,2
17,1,2,0,1,1,0,2,1
19,1,2,1,1,1,0,2,2
21,1,2,2,1,1,0,2,1
15,1,0,0,2,1,0,2,2
17,1,0,1,2,1,0,2,1
19,1,0,2,2,1,0,2,1
17,1,1,0,2,1,0,2,2
19,1,1,1,2,1,0,2,1
21,1,1,2,2,1,0,2,1
19,1,2,0,2,1,0,2,1
21,1,2,1,2,1,0,2,1
23,1,2,2,2,1,0,2,2
15,1,0,0,0,2,0,2,1
15,1,0,1,0,2,0,2,2
17,1,0,2,0,2,0,2,1
15,1,1,0,0,2,0,2,2
17,1,1,1,0,2,0,2,2
19,1,1,2,0,2,0,2,1
17,1,2,0,0,2,0,2,1
19,1,2,1,0,2,0,2,1
21,1,2,2,0,2,0,2,1
15,1,0,0,1,2,0,2,1
17,1,0,1,1,2,0,2,2
19,1,0,2,1,2,0,2,1
17,1,1,0,1,2,0,2,1
19,1,1,1,1,2,0,2,2
21,1,1,2,1,2,0,2,1
19,1,2,0,1,2,0,2,2
21,1,2,1,1,2,0,2,1
23,1,2,2,1,2,0,2,1
17,1,0,0,2,2,0,2,2
19,1,0,1,2,2,0,2,1
21,1,0,2,2,2,0,2,1
19,1,1,0,2,2,0,2,2
21,1,1,1,2,2,0,2,1
23,1,1,2,2,2,0,2,1
21,1,2,0,2,2,0,2,1
23,1,2,1,2,2,0,2,1
25,1,2,2,2,2,0,2,2
13,1,0,0,0,0,1,2,2
13,1,0,1,0,0,1,2,2
15,1,0,2,0,0,1,2,1
13,1,1,0,0,0,1,2,1
15,1,1,1,0,0,1,2,2
17,1,1,2,0,0,1,2,1
15,1,2,0,0,0,1,2,2
17,1,2,1,0,0,1,2,1
19,1,2,2,0,0,1,2,1
13,1,0,0,1,0,1,2,2
15,1,0,1,1,0,1,2,1
17,1,0,2,1,0,1,2,1
15,1,1,0,1,0,1,2,2
17,1,1,1,1,0,1,2,1
19,1,1,2,1,0,1,2,1
17,1,2,0,1,0,1,2,1
19,1,2,1,1,0,1,2,1
21,1,2,2,1,0,1,2,2
15,1,0,0,2,0,1,2,3
17,1,0,1,2,0,1,2,2
19,1,0,2,2,0,1,2,2
17,1,1,0,2,0,1,2,3
19,1,1,1,2,0,1,2,2
21,1,1,2,2,0,1,2,2
19,1,2,0,2,0,1,2,2
21,1,2,1,2,0,1,2,2
23,1,2,2,2,0,1,2,3
15,1,0,0,0,1,1,2,1
15,1,0,1,0,1,1,2,3
17,1,0,2,0,1,1,2,2
15,1,1,0,0,1,1,2,1
17,1,1,1,0,1,1,2,3
19,1,1,2,0,1,1,2,2
17,1,2,0,0,1,1,2,1
19,1,2,1,0,1,1,2,2
21,1,2,2,0,1,1,2,2
15,1,0,0,1,1,1,2,1
17,1,0,1,1,1,1,2,1
19,1,0,2,1,1,1,2,2
17,1,1,0,1,1,1,2,1
19,1,1,1,1,1,1,2,1
21,1,1,2,1,1,1,2,2
19,1,2,0,1,1,1,2,1
21,1,2,1,1,1,1,2,2
23,1,2,2,1,1,1,2,1
17,1,0,0,2,1,1,2,2
19,1,0,1,2,1,1,2,1
21,1,0,2,2,1,1,2,1
19,1,1,0,2,1,1,2,2
21,1,1,1,2,1,1,2,1
23,1,1,2,2,1,1,2,1
21,1,2,0,2,1,1,2,1
23,1,2,1,2,1,1,2,1
25,1,2,2,2,1,1,2,2
17,1,0,0,0,2,1,2,1
17,1,0,1,0,2,1,2,2
19,1,0,2,0,2,1,2,1
17,1,1,0,0,2,1,2,2
19,1,1,1,0,2,1,2,2
21,1,1,2,0,2,1,2,1
19,1,2,0,0,2,1,2,1
21,1,2,1,0,2,1,2,1
23,1,2,2,0,2,1,2,1
17,1,0,0,1,2,1,2,1
19,1,0,1,1,2,1,2,2
21,1,0,2,1,2,1,2,1
19,1,1,0,1,2,1,2,1
21,1,1,1,1,2,1,2,2
23,1,1,2,1,2,1,2,1
21,1,2,0,1,2,1,2,2
23,1,2,1,1,2,1,2,1
25,1,2,2,1,2,1,2,1
19,1,0,0,2,2,1,2,2
21,1,0,1,2,2,1,2,1
23,1,0,2,2,2,1,2,1
21,1,1,0,2,2,1,2,2
23,1,1,1,2,2,1,2,1
25,1,1,2,2,2,1,2,1
23,1,2,0,2,2,1,2,1
25,1,2,1,2,2,1,2,1
27,1,2,2,2,2,1,2,2
15,1,0,0,0,0,2,2,1
15,1,0,1,0,0,2,2,3
17,1,0,2,0,0,2,2,2
15,1,1,0,0,0,2,2,1
17,1,1,1,0,0,2,2,3
19,1,1,2,0,0,2,2,2
17,1,2,0,0,0,2,2,1
19,1,2,1,0,0,2,2,2
21,1,2,2,0,0,2,2,2
15,1,0,0,1,0,2,2,1
17,1,0,1,1,0,2,2,1
19,1,0,2,1,0,2,2,2
17,1,1,0,1,0,2,2,1
19,1,1,1,1,0,2,2,1
21,1,1,2,1,0,2,2,2
19,1,2,0,1,0,2,2,1
21,1,2,1,1,0,2,2,2
23,1,2,2,1,0,2,2,1
17,1,0,0,2,0,2,2,2
19,1,0,1,2,0,2,2,1
21,1,0,2,2,0,2,2,1
19,1,1,0,2,0,2,2,2
21,1,1,1,2,0,2,2,1
23,1,1,2,2,0,2,2,1
21,1,2,0,2,0,2,2,1
23,1,2,1,2,0,2,2,1
25,1,2,2,2,0,2,2,2
17,1,0,0,0,1,2,2,1
17,1,0,1,0,1,2,2,2
19,1,0,2,0,1,2,2,1
17,1,1,0,0,1,2,2,2
19,1,1,1,0,1,2,2,2
21,1,1,2,0,1,2,2,1
19,1,2,0,0,1,2,2,1
21,1,2,1,0,1,2,2,1
23,1,2,2,0,1,2,2,1
17,1,0,0,1,1,2,2,1
19,1,0,1,1,1,2,2,2
21,1,0,2,1,1,2,2,1
19,1,1,0,1,1,2,2,1
21,1,1,1,1,1,2,2,2
23,1,1,2,1,1,2,2,1
21,1,2,0,1,1,2,2,2
23,1,2,1,1,1,2,2,1
25,1,2,2,1,1,2,2,1
19,1,0,0,2,1,2,2,2
21,1,0,1,2,1,2,2,1
23,1,0,2,2,1,2,2,1
21,1,1,0,2,1,2,2,2
23,1,1,1,2,1,2,2,1
25,1,1,2,2,1,2,2,1
23,1,2,0,2,1,2,2,1
25,1,2,1,2,1,2,2,1
27,1,2,2,2,1,2,2,2
19,1,0,0,0,2,2,2,2
19,1,0,1,0,2,2,2,2
21,1,0,2,0,2,2,2,1
19,1,1,0,0,2,2,2,1
21,1,1,1,0,2,2,2,2
23,1,1,2,0,2,2,2,1
21,1,2,0,0,2,2,2,2
23,1,2,1,0,2,2,2,1
25,1,2,2,0,2,2,2,1
19,1,0,0,1,2,2,2,2
