leaves,x0,x1,x2,x3,x4,x5,x6,x7,bottom_permutation,top_permutation,permutation,orbits
17,1,2,2,2,0,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 15)(2 12)(3 9)(4 6)(5 8)(7 11)(10 14)(13 17),"[[16, 13, 17, 15, 1, 4, 6, 3, 9, 12, 2, 0], [8, 5], [11, 14, 10, 7]]",3
9,1,0,0,0,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 4)(1 3)(2 8)(5 7)(6 9),"[[4, 1, 3, 6, 9, 7, 5, 8, 2, 0]]",1
9,1,0,1,0,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 8)(1 4)(2 9)(3 6)(5 7),"[[8, 5, 7, 9, 2, 0], [4, 1], [6, 3]]",3
11,1,0,2,0,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 8)(2 11)(3 6)(4 9)(5 7),"[[10, 7, 5, 8, 1, 4, 9, 11, 2, 0], [6, 3]]",2
9,1,1,0,0,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 8)(1 6)(2 4)(3 9)(5 7),"[[8, 5, 7, 9, 3, 6, 1, 4, 2, 0]]",1
11,1,1,1,0,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 9)(2 8)(3 6)(4 11)(5 7),"[[10, 7, 5, 8, 2, 0], [9, 11, 4, 1], [6, 3]]",3
13,1,1,2,0,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 11)(2 10)(3 6)(4 9)(5 7)(8 13),"[[12, 9, 4, 1, 11, 13, 8, 5, 7, 10, 2, 0], [6, 3]]",2
11,1,2,0,0,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 9)(2 4)(3 8)(5 7)(6 11),"[[10, 7, 5, 8, 3, 6, 11, 9, 1, 4, 2, 0]]",1
13,1,2,1,0,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 11)(2 8)(3 6)(4 10)(5 7)(9 13),"[[12, 9, 13, 11, 1, 4, 10, 7, 5, 8, 2, 0], [6, 3]]",2
15,1,2,2,0,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 13)(2 10)(3 6)(4 9)(5 7)(8 12)(11 15),"[[14, 11, 15, 13, 1, 4, 9, 12, 8, 5, 7, 10, 2, 0], [6, 3]]",2
