leaves,x0,x1,x2,x3,x4,bottom_permutation,top_permutation,permutation,orbits
15,3,2,1,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 9)(2 6)(3 5)(4 8)(7 11)(10 13)(12 15),"[[14, 11, 7, 10, 13, 15, 12, 9, 1, 4, 8, 5, 3, 6, 2, 0]]",1
17,3,3,1,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 11)(2 6)(3 5)(4 8)(7 10)(9 13)(12 15)(14 17),"[[16, 13, 9, 12, 15, 17, 14, 11, 1, 4, 8, 5, 3, 6, 2, 0], [10, 7]]",2
9,0,0,2,0,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 2)(1 8)(3 5)(4 7)(6 9),"[[2, 0], [8, 5, 3, 6, 9, 7, 4, 1]]",2
9,0,1,2,0,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 6)(1 9)(2 8)(3 5)(4 7),"[[6, 3, 5, 8, 2, 0], [9, 7, 4, 1]]",2
11,0,2,2,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 9)(1 11)(2 8)(3 5)(4 7)(6 10),"[[9, 11, 1, 4, 7, 10, 6, 3, 5, 8, 2, 0]]",1
13,0,3,2,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 11)(1 13)(2 8)(3 5)(4 7)(6 10)(9 12),"[[11, 13, 1, 4, 7, 10, 6, 3, 5, 8, 2, 0], [12, 9]]",2
9,1,0,2,0,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 8)(1 6)(2 9)(3 5)(4 7),"[[8, 5, 3, 6, 1, 4, 7, 9, 2, 0]]",1
11,1,1,2,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 9)(2 8)(3 5)(4 7)(6 11),"[[10, 7, 4, 1, 9, 11, 6, 3, 5, 8, 2, 0]]",1
13,1,2,2,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 11)(2 8)(3 5)(4 7)(6 10)(9 13),"[[12, 9, 13, 11, 1, 4, 7, 10, 6, 3, 5, 8, 2, 0]]",1
15,1,3,2,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 13)(2 8)(3 5)(4 7)(6 10)(9 12)(11 15),"[[14, 11, 15, 13, 1, 4, 7, 10, 6, 3, 5, 8, 2, 0], [12, 9]]",2
11,2,0,2,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 6)(2 9)(3 5)(4 7)(8 11),"[[10, 7, 4, 1, 6, 3, 5, 8, 11, 9, 2, 0]]",1
13,2,1,2,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 9)(2 8)(3 5)(4 7)(6 11)(10 13),"[[12, 9, 1, 4, 7, 10, 13, 11, 6, 3, 5, 8, 2, 0]]",1
15,2,2,2,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 11)(2 8)(3 5)(4 7)(6 10)(9 13)(12 15),"[[14, 11, 1, 4, 7, 10, 6, 3, 5, 8, 2, 0], [13, 15, 12, 9]]",2
17,2,3,2,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 13)(2 8)(3 5)(4 7)(6 10)(9 12)(11 15)(14 17),"[[16, 13, 1, 4, 7, 10, 6, 3, 5, 8, 2, 0], [12, 9], [15, 17, 14, 11]]",3
13,3,0,2,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 6)(2 9)(3 5)(4 7)(8 11)(10 13),"[[12, 9, 2, 0], [6, 3, 5, 8, 11, 13, 10, 7, 4, 1]]",2
15,3,1,2,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 9)(2 8)(3 5)(4 7)(6 11)(10 13)(12 15),"[[14, 11, 6, 3, 5, 8, 2, 0], [9, 12, 15, 13, 10, 7, 4, 1]]",2
17,3,2,2,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 11)(2 8)(3 5)(4 7)(6 10)(9 13)(12 15)(14 17),"[[16, 13, 9, 12, 15, 17, 14, 11, 1, 4, 7, 10, 6, 3, 5, 8, 2, 0]]",1
