leaves,x0,x1,x2,x3,x4,x5,bottom_permutation,top_permutation,permutation,orbits
9,0,0,0,0,0,1,(0 2)(1 4)(3 6)(5 8)(7 9),(0 2)(1 4)(3 7)(5 9)(6 8),"[[2, 0], [4, 1], [7, 9, 5, 8, 6, 3]]",3
9,0,1,0,0,0,1,(0 2)(1 4)(3 6)(5 8)(7 9),(0 3)(1 7)(2 4)(5 9)(6 8),"[[3, 6, 8, 5, 9, 7, 1, 4, 2, 0]]",1
9,1,0,0,0,0,1,(0 2)(1 4)(3 6)(5 8)(7 9),(0 4)(1 3)(2 7)(5 9)(6 8),"[[4, 1, 3, 6, 8, 5, 9, 7, 2, 0]]",1
9,1,1,0,0,0,1,(0 2)(1 4)(3 6)(5 8)(7 9),(0 7)(1 5)(2 4)(3 9)(6 8),"[[7, 9, 3, 6, 8, 5, 1, 4, 2, 0]]",1
9,0,0,1,0,0,1,(0 2)(1 4)(3 6)(5 8)(7 9),(0 2)(1 7)(3 5)(4 9)(6 8),"[[2, 0], [7, 9, 4, 1], [5, 8, 6, 3]]",3
9,0,1,1,0,0,1,(0 2)(1 4)(3 6)(5 8)(7 9),(0 4)(1 9)(2 7)(3 5)(6 8),"[[4, 1, 9, 7, 2, 0], [5, 8, 6, 3]]",2
9,1,0,1,0,0,1,(0 2)(1 4)(3 6)(5 8)(7 9),(0 7)(1 4)(2 9)(3 5)(6 8),"[[7, 9, 2, 0], [4, 1], [5, 8, 6, 3]]",3
11,1,1,1,0,0,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 9)(2 7)(3 5)(4 11)(6 8),"[[10, 7, 2, 0], [9, 11, 4, 1], [5, 8, 6, 3]]",3
9,0,0,0,1,0,1,(0 2)(1 4)(3 6)(5 8)(7 9),(0 2)(1 5)(3 9)(4 7)(6 8),"[[2, 0], [5, 8, 6, 3, 9, 7, 4, 1]]",2
9,0,1,0,1,0,1,(0 2)(1 4)(3 6)(5 8)(7 9),(0 3)(1 9)(2 5)(4 7)(6 8),"[[3, 6, 8, 5, 2, 0], [9, 7, 4, 1]]",2
9,1,0,0,1,0,1,(0 2)(1 4)(3 6)(5 8)(7 9),(0 5)(1 3)(2 9)(4 7)(6 8),"[[5, 8, 6, 3, 1, 4, 7, 9, 2, 0]]",1
11,1,1,0,1,0,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 9)(2 5)(3 11)(4 7)(6 8),"[[10, 7, 4, 1, 9, 11, 3, 6, 8, 5, 2, 0]]",1
11,0,0,1,1,0,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 2)(1 10)(3 9)(4 7)(5 11)(6 8),"[[2, 0], [10, 7, 4, 1], [9, 11, 5, 8, 6, 3]]",3
11,0,1,1,1,0,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 5)(1 11)(2 10)(3 9)(4 7)(6 8),"[[5, 8, 6, 3, 9, 11, 1, 4, 7, 10, 2, 0]]",1
11,1,0,1,1,0,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 5)(2 11)(3 9)(4 7)(6 8),"[[10, 7, 4, 1, 5, 8, 6, 3, 9, 11, 2, 0]]",1
13,1,1,1,1,0,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 11)(2 10)(3 9)(4 7)(5 13)(6 8),"[[12, 9, 3, 6, 8, 5, 13, 11, 1, 4, 7, 10, 2, 0]]",1
11,0,0,0,0,1,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 2)(1 4)(3 10)(5 9)(6 8)(7 11),"[[2, 0], [4, 1], [10, 7, 11, 9, 5, 8, 6, 3]]",3
11,0,1,0,0,1,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 3)(1 10)(2 4)(5 9)(6 8)(7 11),"[[3, 6, 8, 5, 9, 11, 7, 10, 1, 4, 2, 0]]",1
11,1,0,0,0,1,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 4)(1 3)(2 10)(5 9)(6 8)(7 11),"[[4, 1, 3, 6, 8, 5, 9, 11, 7, 10, 2, 0]]",1
11,1,1,0,0,1,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 7)(2 4)(3 11)(5 9)(6 8),"[[10, 7, 1, 4, 2, 0], [11, 9, 5, 8, 6, 3]]",2
11,0,0,1,0,1,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 2)(1 10)(3 7)(4 11)(5 9)(6 8),"[[2, 0], [10, 7, 3, 6, 8, 5, 9, 11, 4, 1]]",2
11,0,1,1,0,1,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 4)(1 11)(2 10)(3 7)(5 9)(6 8),"[[4, 1, 11, 9, 5, 8, 6, 3, 7, 10, 2, 0]]",1
